production_budget_usd,worldwide_gross_usd
20000000.00,7023292.00
10000000.00,7037886.00
100000000.00,7094995.00
54000000.00,7126002.00
18000000.00,7129670.00
25000000.00,7164995.00
16000000.00,7171320.00
18000000.00,7190505.00
12000000.00,7203439.00
31000000.00,7220490.00
13300000.00,7229933.00
5200000.00,7260661.00
17000000.00,7265283.00
8000000.00,7298786.00
16800000.00,7313697.00
20000000.00,7405084.00
18200000.00,7431320.00
17500000.00,7454184.00
8500000.00,7573551.00
19000000.00,7576604.00
10000000.00,7582196.00
15000000.00,7583050.00
16000000.00,7585011.00
18000000.00,7680250.00
41000000.00,7684524.00
9000000.00,7704357.00
18000000.00,7719630.00
40000000.00,7729552.00
30000000.00,7755686.00
6000000.00,7818479.00
7000000.00,7824358.00
10000000.00,7843145.00
10000000.00,7862131.00
13000000.00,7881335.00
15000000.00,7885048.00
15600000.00,7886102.00
12000000.00,7900000.00
6900000.00,7950889.00
40000000.00,7974607.00
20000000.00,8000000.00
50000000.00,8004221.00
13000000.00,8064972.00
16000000.00,8120148.00
19000000.00,8123860.00
16500000.00,8126380.00
13000000.00,8130727.00
5400000.00,8133256.00
20000000.00,8135024.00
28000000.00,8165213.00
6000000.00,8173486.00
15000000.00,8200127.00
25000000.00,8208594.00
16000000.00,8217571.00
20000000.00,8221700.00
15000000.00,8224998.00
10000000.00,8243567.00
10000000.00,8259753.00
8000000.00,8279017.00
20000000.00,8284331.00
24000000.00,8292914.00
20000000.00,8300821.00
20000000.00,8359720.00
7000000.00,8373585.00
50000000.00,8374062.00
10000000.00,8378853.00
16000000.00,8400000.00
33000000.00,8408835.00
24000000.00,8427204.00
28000000.00,8434601.00
6000000.00,8446952.00
10000000.00,8465845.00
45000000.00,8488871.00
42000000.00,8514325.00
7500000.00,8539003.00
5500000.00,8589831.00
30000000.00,8593154.00
28000000.00,8594558.00
17000000.00,8607815.00
17000000.00,8609949.00
10000000.00,8629895.00
15000000.00,8667209.00
12000000.00,8706701.00
27000000.00,8723600.00
15000000.00,8735529.00
5500000.00,8761608.00
15000000.00,8767338.00
30000000.00,8786287.00
10000000.00,8801940.00
7000000.00,8824553.00
30000000.00,8845575.00
20000000.00,8846875.00
8000000.00,8864699.00
10000000.00,8890094.00
28000000.00,8891623.00
6400000.00,8902141.00
12500000.00,8912003.00
15000000.00,8921050.00
12000000.00,8942516.00
20000000.00,8967531.00
30000000.00,9037427.00
15000000.00,9055925.00
18000000.00,9082906.00
11000000.00,9170214.00
25000000.00,9186073.00
